Iteration,Heuristic Value,Restarted,Inner Iteration,Time
641,44,17,37,3925.0000
642,45,17,38,3931.0000
643,45,17,39,3938.0000
644,3,18,1,3947.0000
645,5,18,2,3954.0000
646,7,18,3,3962.0000
647,8,18,4,3970.0000
648,9,18,5,3975.0000
649,10,18,6,3985.0000
650,11,18,7,3991.0000
651,12,18,8,3997.0000
652,13,18,9,4003.0000
653,14,18,10,4010.0000
654,15,18,11,4016.0000
655,16,18,12,4022.0000
656,17,18,13,4029.0000
657,18,18,14,4035.0000
658,20,18,15,4041.0000
659,21,18,16,4046.0000
660,22,18,17,4053.0000
661,23,18,18,4060.0000
662,24,18,19,4066.0000
663,25,18,20,4072.0000
664,26,18,21,4077.0000
665,27,18,22,4083.0000
666,28,18,23,4090.0000
667,29,18,24,4095.0000
668,30,18,25,4101.0000
669,31,18,26,4107.0000
670,32,18,27,4113.0000
671,33,18,28,4119.0000
672,35,18,29,4125.0000
673,36,18,30,4131.0000
674,37,18,31,4136.0000
675,38,18,32,4142.0000
676,39,18,33,4149.0000
677,40,18,34,4154.0000
678,41,18,35,4161.0000
679,41,18,36,4166.0000
680,2,19,1,4173.0000
681,4,19,2,4180.0000
682,6,19,3,4186.0000
683,8,19,4,4191.0000
684,9,19,5,4196.0000
685,10,19,6,4200.0000
686,11,19,7,4204.0000
687,12,19,8,4212.0000
688,13,19,9,4218.0000
689,14,19,10,4223.0000
690,15,19,11,4229.0000
691,17,19,12,4235.0000
692,18,19,13,4240.0000
693,20,19,14,4246.0000
694,21,19,15,4247.0000
695,22,19,16,4257.0000
696,23,19,17,4263.0000
697,24,19,18,4269.0000
698,25,19,19,4273.0000
699,26,19,20,4281.0000
700,27,19,21,4283.0000
701,28,19,22,4292.0000
702,29,19,23,4295.0000
703,30,19,24,4303.0000
704,31,19,25,4307.0000
705,33,19,26,4315.0000
706,34,19,27,4322.0000
707,35,19,28,4325.0000
708,36,19,29,4334.0000
709,37,19,30,4340.0000
710,37,19,31,4343.0000
711,3,20,1,4350.0000
712,5,20,2,4358.0000
713,7,20,3,4363.0000
714,9,20,4,4372.0000
715,11,20,5,4374.0000
716,13,20,6,4383.0000
717,15,20,7,4386.0000
718,17,20,8,4393.0000
719,19,20,9,4398.0000
720,20,20,10,4405.0000
721,21,20,11,4410.0000
722,22,20,12,4416.0000
723,23,20,13,4422.0000
724,24,20,14,4428.0000
725,25,20,15,4434.0000
726,26,20,16,4441.0000
727,27,20,17,4447.0000
728,28,20,18,4454.0000
729,29,20,19,4454.0000
730,30,20,20,4465.0000
731,31,20,21,4470.0000
732,32,20,22,4477.0000
733,33,20,23,4483.0000
734,35,20,24,4489.0000
735,36,20,25,4493.0000
736,37,20,26,4502.0000
737,37,20,27,4504.0000
738,37,20,28,4514.0000
739,37,20,29,4514.0000
740,37,20,30,4528.0000
741,37,20,31,4534.0000
742,37,20,32,4541.0000
743,3,21,1,4548.0000
744,5,21,2,4554.0000
745,7,21,3,4562.0000
746,9,21,4,4569.0000
747,10,21,5,4575.0000
748,11,21,6,4581.0000
749,13,21,7,4587.0000
750,14,21,8,4594.0000
751,15,21,9,4599.0000
752,16,21,10,4612.0000
753,18,21,11,4619.0000
754,19,21,12,4629.0000
755,21,21,13,4636.0000
756,23,21,14,4642.0000
757,24,21,15,4648.0000
758,26,21,16,4655.0000
759,28,21,17,4661.0000
760,29,21,18,4668.0000
761,30,21,19,4674.0000
762,31,21,20,4680.0000
763,32,21,21,4683.0000
764,33,21,22,4692.0000
765,34,21,23,4695.0000
766,35,21,24,4704.0000
767,36,21,25,4707.0000
768,37,21,26,4716.0000
769,38,21,27,4720.0000
770,39,21,28,4726.0000
771,40,21,29,4733.0000
772,41,21,30,4740.0000
773,42,21,31,4744.0000
774,43,21,32,4753.0000
775,44,21,33,4757.0000
776,44,21,34,4766.0000
777,2,22,1,4768.0000
778,4,22,2,4779.0000
779,6,22,3,4783.0000
780,7,22,4,4792.0000
781,8,22,5,4799.0000
782,9,22,6,4805.0000
783,11,22,7,4812.0000
784,12,22,8,4818.0000
785,13,22,9,4825.0000
786,14,22,10,4832.0000
787,15,22,11,4838.0000
788,16,22,12,4845.0000
789,17,22,13,4852.0000
790,18,22,14,4858.0000
791,19,22,15,4865.0000
792,20,22,16,4872.0000
793,21,22,17,4878.0000
794,22,22,18,4884.0000
795,23,22,19,4891.0000
796,24,22,20,4896.0000
797,25,22,21,4902.0000
798,26,22,22,4908.0000
799,27,22,23,4914.0000
800,28,22,24,4920.0000
801,29,22,25,4926.0000
802,30,22,26,4932.0000
803,31,22,27,4938.0000
804,32,22,28,4944.0000
805,33,22,29,4950.0000
806,34,22,30,4956.0000
807,35,22,31,4962.0000
808,36,22,32,4968.0000
809,37,22,33,4974.0000
810,38,22,34,4980.0000
811,38,22,35,4986.0000
812,2,23,1,4994.0000
813,4,23,2,5000.0000
814,6,23,3,5004.0000
815,8,23,4,5010.0000
816,9,23,5,5014.0000
817,10,23,6,5021.0000
818,11,23,7,5024.0000
819,12,23,8,5030.0000
820,13,23,9,5036.0000
821,14,23,10,5041.0000
822,15,23,11,5046.0000
823,16,23,12,5050.0000
824,17,23,13,5056.0000
825,18,23,14,5062.0000
826,19,23,15,5067.0000
827,20,23,16,5072.0000
828,21,23,17,5078.0000
829,22,23,18,5083.0000
830,23,23,19,5089.0000
831,24,23,20,5093.0000
832,25,23,21,5100.0000
833,26,23,22,5103.0000
834,27,23,23,5110.0000
835,28,23,24,5114.0000
836,29,23,25,5121.0000
837,30,23,26,5127.0000
838,31,23,27,5132.0000
839,32,23,28,5138.0000
840,33,23,29,5144.0000
841,34,23,30,5149.0000
842,35,23,31,5154.0000
843,36,23,32,5160.0000
844,38,23,33,5166.0000
845,39,23,34,5169.0000
846,39,23,35,5178.0000
847,2,24,1,5184.0000
848,4,24,2,5191.0000
849,6,24,3,5193.0000
